X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
22.9375,-30.5595,163,South Africa,2021/10/21 12:21:18+00,-30.5595,22.9375,2917846,88754,0,0,4919.761337,,,3.04176437,710,ZAF
31.307,6.877,164,South Sudan,2021/10/21 12:21:18+00,6.877,31.307,12270,133,0,0,109.614946,,,1.08394458,728,SSD
-3.74922,40.463667,165,Spain,2021/10/21 12:21:18+00,40.463667,-3.74922,4993295,87082,0,0,10679.75227,,,1.743978675,724,ESP
80.771797,7.873054,166,Sri Lanka,2021/10/21 12:21:18+00,7.873054,80.771797,533305,13543,0,0,2490.537401,,,2.539447408,144,LKA
30.2176,12.8628,167,Sudan,2021/10/21 12:21:18+00,12.8628,30.2176,39839,3038,0,0,90.85442223,,,7.625693416,729,SDN
139.7737,35.6491,168,Summer Olympics 2020,2021/10/21 12:21:18+00,35.6491,139.7737,865,0,0,0,0,,,0,2020,
-56.0278,3.9193,169,Suriname,2021/10/21 12:21:18+00,3.9193,-56.0278,47477,1044,0,0,8093.121094,,,2.198959496,740,SUR
18.6435,60.1282,170,Sweden,2021/10/21 12:21:18+00,60.1282,18.6435,1164402,14985,0,0,11529.566,,,1.28692668,752,SWE
8.2275,46.8182,171,Switzerland,2021/10/21 12:21:18+00,46.8182,8.2275,861123,11176,0,0,9949.867227,,,1.297840146,756,CHE
38.996815,34.802075,172,Syria,2021/10/21 12:21:18+00,34.802075,38.996815,40294,2457,0,0,230.2427846,,,6.097682037,760,SYR
121,23.7,173,Taiwan*,2021/10/21 12:21:18+00,23.7,121,16349,846,0,0,68.6448942,,,5.174628418,158,TWN
71.2761,38.861,174,Tajikistan,2021/10/21 12:21:18+00,38.861,71.2761,17484,125,0,0,183.3157504,,,0.714939373,762,TJK
34.888822,-6.369028,175,Tanzania,2021/10/21 12:21:18+00,-6.369028,34.888822,26034,724,0,0,43.58306353,,,2.78097872,834,TZA
100.992541,15.870032,176,Thailand,2021/10/21 12:21:18+00,15.870032,100.992541,1821579,18559,0,0,2609.712857,,,1.018841346,764,THA
125.727539,-8.874217,177,Timor-Leste,2021/10/21 12:21:18+00,-8.874217,125.727539,19749,120,0,0,1497.904345,,,0.607625703,626,TLS
0.8248,8.6195,178,Togo,2021/10/21 12:21:18+00,8.6195,0.8248,25936,240,0,0,313.2845022,,,0.925354719,768,TGO
-61.2225,10.6918,179,Trinidad and Tobago,2021/10/21 12:21:18+00,10.6918,-61.2225,54623,1621,0,0,3903.061899,,,2.967614375,780,TTO
9.537499,33.886917,180,Tunisia,2021/10/21 12:21:18+00,33.886917,9.537499,711164,25121,0,0,6017.319453,,,3.532377904,788,TUN
